simulation_num,e_l_ra_rad,e_l_dec_rad
1,5.551115122253023e-17,-5.89602422318734e-18
1,-0.0749400199222013,-0.1098079721350962
1,-0.2492444260098703,-0.3298582589646141
1,-0.1216218614973608,-0.0143035462082368
1,-0.0496572638059334,0.1910162442056384
2,0.0,-4.854263951813032e-17
2,-0.0396012477538829,0.0986030562184757
2,0.1420669603862409,-0.7311401678653374
2,-0.2627253337007192,0.0199927837315617
2,-0.3915925302881117,0.0918692065565721
3,1.387778782101256e-16,-8.057304216816289e-17
3,0.1579820142686381,0.1695503285574584
3,0.5949250747678627,-0.0855087960963312
3,0.3814048674440788,0.1616495738648866
3,0.0498172560414365,-0.4559345550467703
4,7.502679005462633e-17,-7.452959928892769e-17
4,0.2700388293489139,-0.4894118893744892
4,0.3962316650071433,0.17091670115891405
4,0.09482575420734986,-0.40642518382490855
4,0.3962316650071433,0.17091670115891405
